Number,Name,Tags,Bold,Notes
1,Two Sum,hash,T,
2,Add Two Numbers,linked-list,F,
3,Longest Substring Without Repeating Characters,sliding-window,T,[Solution with Explanation](https://leetcode.com/problems/longest-substring-without-repeating-characters/discuss/1014921/SLIDING-WINDOW-oror-O(n)-oror-Faster-than-90-and-Memory-usage-less-than-100)
4,Median of Two Sorted Arrays,binary-search,F,[Solution with explanation](https://zxi.mytechroad.com/blog/algorithms/binary-search/leetcode-4-median-of-two-sorted-arrays/)
5,Longest Palindromic Substring,dp,T,
6,Zigzag Conversion,string,F,stringbuffer
9,Palindrome Number,string,T,"1. use two pointers <br> 2. no extra space, seperate to 2 ints then compare"
13,Roman to Integer,hash,F,use a prev pointer to manage deduction
15,3Sum,pointers,T,"Advanced version of 2 sum, same idea"
19,Remove Nth Node From End of List,linked-list,T,"use two pointers, <br> [Solution with Explanation](https://leetcode.com/problems/remove-nth-node-from-end-of-list/discuss/8804/Simple-Java-solution-in-one-pass)"
20,Valid Parentheses,stack,T,
21,Merge Two Sorted Lists,linked-list,T,[Solution with Explanation](https://leetcode.com/problems/merge-two-sorted-lists/discuss/1405588/100-or-Java-or-Clear-Code-%2B-Explanation)
24,Swap Nodes in Pairs,linked-list,T,
29,Divide Two Integers,bit,T,"[Solution with Explanation](https://leetcode.com/problems/divide-two-integers/discuss/1327339/Java-or-0ms-or-100-faster-or-Obeys-all-conditions), This question sucks, use Lemma 2 & 3"
32,Longest Valid Parentheses,dp,T,"think as a stack, count left then compare"
34,Find First and Last Position of Element in Sorted Array,binary-search,T,
51,N-Queens,backtrace,T,"[Graphical and Video Explanation](http://zxi.mytechroad.com/blog/searching/leetcode-51-n-queens/), <br> Use boolean list to record diagnals"
52,N-Queens II,backtrace,F,"Different from 51, we do not actually place Queen. We only record the column availability instead"
53,Maximum Subarray,greedy,T,
55,Jump Game,dp,F,
56,Merge Intervals,sort,F,
62,Unique Paths,dp,T,[Graphical Explanation](https://leetcode.com/problems/unique-paths/discuss/405983/Easy-understand-Java-Solutions-with-Explanations-(DP-Top-down-Bottom-up-Linear-Space))
63,Unique Paths II,dp,T,
